Title,Published_date,Views,Likes,Dislikes,Comments,Duration (Minutes)
Best Machine Learning Courses on Coursera,2021-03-23T11:00:02Z,59649,1783,0,83,6.65
Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18T11:00:08Z,16330,475,0,117,28.12
Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16T11:00:07Z,429106,7618,0,195,6.25
Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12T12:00:17Z,365703,11157,0,1173,14.57
Google Data Analytics Certificate | Coming Out Soon!,2021-03-04T12:15:01Z,51741,2364,0,316,7.73
Reviewing Your Data Analyst Resumes | Part 2,2021-03-02T12:00:08Z,23773,572,0,78,40.6
Best Course to Learn Statistics for Data Analysis,2021-02-25T12:00:13Z,112962,2815,0,91,6.2
DataQuest Review | Is it Worth it?,2021-02-23T12:00:19Z,24483,421,0,45,17.33
R vs Python | Which is Better for Data Analysis?,2021-02-16T12:00:00Z,227246,5057,0,408,11.85
Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04T12:00:04Z,178201,4464,0,151,13.82
Advanced SQL Tutorial | Temp Tables,2021-02-02T12:00:13Z,255025,5642,0,141,10.32
IBM Data Analyst Certificate Study Session,2021-01-30T15:33:41Z,5237,173,0,22,81.83
IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26T12:00:22Z,126955,3176,0,307,7.43
DataCamp Review | Is it Worth it?,2021-01-21T12:00:03Z,179800,3764,0,255,16.25
Best Python Course for Data Analysts,2021-01-19T12:00:09Z,53749,1366,0,118,8.63
Top 5 Data Analyst Skills,2021-01-12T12:00:07Z,32446,1341,0,174,5.85
Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07T12:00:28Z,15143,489,0,147,27.75
Top 5 Data Analyst Interview Mistakes,2021-01-05T12:00:10Z,89328,2259,0,73,5.47
2020 Year End Review + Upcoming Giveaway Details,2020-12-31T12:00:01Z,1573,140,0,101,3.62
Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24T12:00:19Z,41729,1197,0,137,51.43
